nouveau_nom,nom_table,referent,Modifs appliquées,resume,date_maj,sensibilite,table_a_supprimer,commentaires,
agglomeration_cartographie,vegetation_cbn,Adele Rauzier,oui,"Agglomération des cartes de végétation réalisées jusqu’en 2012, travail réalisé par les CBN de 2012 à 2014. Dernière mise à jour en 2021. ",01/01/21,interne,,X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\3- CBN_ typo et carto des habitats  2012 2014\1-RENDUS\CARTE D AGGLOMERATION DES CARTES\SHP avec jointure,
habitat_rimplas,cartographie_FC_Rimplas,Adele Rauzier,oui,Cartographie des habitats à l’occasion de la révision de l’aménagement de la forêt communale (FC) de Rimplas. Cartographie réalisée par Corinne Frachon (ONF) en 2019.,01/08/19,interne,non,X:\3.2 SYLVICULTURE BOIS\3 REUNIONS PARTENAIRES\forêts soumises ONF\Tinée\FC Rimplas\carto habitat Rimplas\SHAPES_SIG_FC_Rimplas,X:\3.2 SYLVICULTURE BOIS\3 REUNIONS PARTENAIRES\forêts soumises ONF\Tinée\FC Rimplas\carto habitat Rimplas\Métadonnées_FC_Rimplas
habitat_rimplas_releve,rel_phyt_FC_Rimplas_ONF_2019,Adele Rauzier,oui,Localisation des relevés de végétation pour la cartographie des habitats à l’occasion de la révision de l’aménagement de la forêt communale (FC) de Rimplas. Cartographie réalisée par Corinne Frachon (ONF) en 2019. ,01/08/19,interne,non,X:\3.2 SYLVICULTURE BOIS\3 REUNIONS PARTENAIRES\forêts soumises ONF\Tinée\FC Rimplas\carto habitat Rimplas\SHAPES_SIG_FC_Rimplas,X:\3.2 SYLVICULTURE BOIS\3 REUNIONS PARTENAIRES\forêts soumises ONF\Tinée\FC Rimplas\carto habitat Rimplas\Métadonnées_FC_Rimplas
habitat_vignols,cartographie_demans_vignols_longon,Adele Rauzier,oui,"Cartographie et évaluation de l’état de conservation des habitats ouverts d’altitude de 3 alpages : Démans, Vignols, Longon. Réalisation en 2022 par le bureau d’étude ODEPP, en la personne de Laurence FOUCAUT.",01/08/22,interne,non,X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\2 - SECTEURS\TINEE\Carto habitat Robion Demans Vignols Longon ODEP 2022\Vignols_Rendu_Novembre_2023,
habitat_vignols_releves,Points_Releves_Les_Vignols_Odepp,Adele Rauzier,oui,"Localisation des relevés de végétation pour la cartographie des habitats et l’évaluation de l’état de conservation des habitats ouverts d’altitude de 3 alpages : Démans, Vignols, Longon. Réalisation en 2022 par le bureau d’étude ODEPP, en la personne de Laurence FOUCAUT.",01/08/22,interne,non,X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\2 - SECTEURS\TINEE\Carto habitat Robion Demans Vignols Longon ODEP 2022\Vignols_Rendu_Novembre_2023,
habitat_pragaze,cartographie_pra_gaze,Adele Rauzier,oui,"Cartographie et évaluation de l’état de conservation des habitats du site Natura 2000 « Adret de Pra Gazé », situé sur la commune de Saint-Dalmas-le-Selvage. Réalisation en 2020 par le bureau d’étude BIODIV, en la personne de Julien BARET.",01/01/21,interne,non,X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\2 - SECTEURS\TINEE\etudeCartoFine_PraGaze\données carto,
habitat_tende,vegetation_Tende,Adele Rauzier,oui,Cartographie des habitats à l’occasion de la révision de l’aménagement de la forêt communale (FC) de Tende. Cartographie réalisée par l’ONF en 2002.,01/12/02,interne,non,"""X:\3.1 AGRICULTURE\2_GESTION_PASTORALE\Diagnostics pastoraux\non mis dans Zotero\ONF\Tende\vegetation_Tende.shp""",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
