nouveau_nom,nom_table,referent,Modifs appliquées,resume,date_maj,sensibilite,table_a_supprimer,commentaires,
,c_maille_lauzanier_eryngium_alpinum_mlea,Adele Rauzier,oui,,,interne,oui,A supprimer – vérifier avec adèle,
,c_mailles_caricion_incurvae_mci,Adele Rauzier,oui,"Mailles de l’habitat caricion incurvae suivi dans le cadre du réseau flore-sentinelle. Suivi type territoire, mailles de 100mx100m. Début du suivi en 2013.",01/01/24,public,non,archiver et remplacer avec mailles_caricion_vf,
,c_mailles_combes_neige_mcn,Adele Rauzier,oui,"Mailles de l’habitat combes à neige suivi dans le cadre du réseau flore-sentinelle. Suivi type territoire, mailles de 50mx50m. Début du suivi en 2018.",01/01/24,public,oui,"supprimer et échanger avec :""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\1-COMBES NEIGE\MAILLES_VF\CBNA_VF\combes_a_neige.shp""",
,diag_pasto_lambertin,Adele Rauzier,oui,Cartographies de végétation réalisées par Michel Lambertin dans les années 1990 à 2000 dans le cadre de diagnostics phytoécologiques dans le PNM. Initialiement digitalisées sous MacMap et importées en shape en 2007. La topologie est de très mauvaise qualité du fait de cet historique.,03/10/22,interne,non,,
,le_mercantour_agropasto,Adele Rauzier,oui,"Cartographie issus d’une modélisation et de cartes existantes (Lambertin, ONF etc.) dans le cadre de l’élaboration du DOCOB du site Natura2000 « Le Mercantour ».",01/01/04,interne,non,,
,le_mercantour_eboulis,Adele Rauzier,oui,"Cartographie issus d’une modélisation et de cartes existantes (Lambertin, ONF etc.) dans le cadre de l’élaboration du DOCOB du site Natura2000 « Le Mercantour ».",01/01/04,interne,non,,
,le_mercantour_foret,Adele Rauzier,oui,"Cartographie issus d’une modélisation et de cartes existantes (Lambertin, ONF etc.) dans le cadre de l’élaboration du DOCOB du site Natura2000 « Le Mercantour ».",01/01/04,interne,non,,
,le_mercantour_landes,Adele Rauzier,oui,"Cartographie issus d’une modélisation et de cartes existantes (Lambertin, ONF etc.) dans le cadre de l’élaboration du DOCOB du site Natura2000 « Le Mercantour ».",01/01/04,interne,non,,
,le_mercantour_rochers,Adele Rauzier,oui,"Cartographie issus d’une modélisation et de cartes existantes (Lambertin, ONF etc.) dans le cadre de l’élaboration du DOCOB du site Natura2000 « Le Mercantour ».",01/01/04,interne,non,,
,le_mercantour_tourbieres_7110_pct,Adele Rauzier,oui,"Cartographie issus d’une modélisation et de cartes existantes (Lambertin, ONF etc.) dans le cadre de l’élaboration du DOCOB du site Natura2000 « Le Mercantour ».",01/01/04,interne,non,,
